4392|2
4738|3
4846|2
5690|2
5907|2
7053|1
7356|2
7573|3
8373|1
9758|2
10017|2
10082|2,3
10255|2,3
10558|1,4
10861|1
11554|2
12030|2
12094|3
12873|1,4
13371|2,3
14345|3
15383|3
15535|2,3
16032|1,4
16595|1
17040|1,4
18109|2
18217|4
18715|2,3,4
19714|4
20251|1
20727|2,3
20900|2,3
22401|1,2
23540|2,3
24038|2
25044|2,3
26061|1
26234|1,4
26710|3
27716|1,2,4
28884|2
29403|3
30420|3,4
30896|1
31567|4
32000|1,3
33060|3
34213|2
34715|1
35713|1,2
36217|3,4
36738|3
36868|3
37387|2
38381|2,3
39546|4
40050|2,3
41043|1,3
41699|2
42046|3
42212|2,4
42541|3
42649|3
43237|1
43713|1,4
44881|2
45379|3
46374|2,3,4
47542|2
48070|1,2
48567|4
49022|2,3
50190|1,4
50709|3
51704|2
52900|3,4
53226|3,4
54371|1,2,3,4
55561|3
56048|4
57097|1,2,4
58071|1
58222|1
58698|2
59713|2,3
60884|2,3
61381|4
62398|1
63372|1
63566|2,3
63891|2,3
64562|1,2,4
