793|3
1206|1,4
1359|2
1511|4
2638|2,3
2763|1,2,4
2940|3
3237|2,4
3498|4
3656|2
3801|1,3
4923|3
5233|2
5420|3
5784|1,2,3,4
6035|4
6486|4
7203|2,3,4
7439|3
7502|2
8056|4
8259|2
8375|1,2,3
8637|2
8937|1,3,4
9369|1,3,4
9492|2,4
9640|1
10353|1,4
10829|1
11493|1
11779|2,4
12640|1,2,3
13505|3
14074|3
14332|4
14643|2,3,4
14929|4
15217|1
16360|2,4
16495|3
16638|2
17162|3
18099|1
18645|4
18960|4
19180|1
19493|1,2,3,
19775|1,2,3,4
20931|2
21186|1
21781|2
22023|4
22648|1,3,4
22940|4
23215|2
23329|3
23826|2
24066|3
25492|4
25754|1,2,4
26069|1,2,4
26311|2,4
26618|4
26924|1,3,4
27192|2,3
27776|2,4
27897|2
27996|1,4
28396|1
28644|2,3,4
28909|1
30075|4
30363|1,3,4
31470|4
31770|2,3
32353|2
32692|3
32937|1
33208|1,2,4
33532|1
34272|3
34638|3
35217|1
35347|3
35509|4
36025|1,3,4
36357|3,4
36688|2
36852|1
37657|1
37778|2
38317|2
38997|1,2,3
39454|1,2,3
39601|1,3,4
39948|1
40056|3
40256|2
40575|2
40813|1
41073|1
41204|1,2,3
41436|1
41618|1
42059|1
42312|3
42640|4
43209|1
43478|2
43757|1,2,3
44030|1
44358|2
44911|3
45239|2,3,4
45479|2,3,4
45651|3
45991|4
48581|1
48877|1,3,4
49119|3
49498|2
49596|2,4
50033|1,2,4
50509|3
50640|2
50804|2,3
51009|1,2,3
51412|1,4
52059|1,3,4
52259|4
52596|1,3
52866|2
53050|2
53677|3
54059|2
54175|2
54588|3
