1498|1
2260|2,3
3023|1
3761|2,3
4514|1
5266|2,3
5724|1
6058|2,3
6724|1,4
7159|1,3,4
7523|1,4
7943|2
8308|4
8469|1
8478|3
8544|1,2,4
8963|3
9119|2
9467|2,3
9644|3
9815|4
10140|1,2,3,4
10374|2,3,4
10483|1
10553|3
10743|1
10782|4
10819|2
10855|3
10933|3,4
11114|1
11153|4
11284|2
11582|3
11615|1
11662|2
11682|4
11884|3
11924|4
12054|2,4
12267|3
12408|2,4
12690|1
12793|1
13130|1,2,3
13323|4
13476|4
13920|2,3
14142|1,2,3,4
14291|2,3,4
14583|3
14608|4
15325|2,3
15427|2,4
15455|1
15530|3
15862|2,3,4
16155|3
16354|1
16547|3
16910|1,3
17165|2,4
17267|3
17636|2,3,4
18045|2,3
18421|1,2,3,4
18802|2
19077|2
19388|1,2,3
19590|4
19925|3,4
20256|1
20659|2,3,4
20995|1,4
21234|3
21287|1
21452|2
21637|3
21788|2,4
22493|2,4
22875|3
23096|1
23613|1,2
24004|4
24382|1,2,3,4
24739|3
25317|2,3
25510|4
25882|1,2,4
26304|1,3
26577|2
26721|3
26845|2
27014|3
27414|1,3,4
27770|3
28229|1,2,3,4
28614|1,3,4
28896|3
29292|1,2,3,4
29670|1,2,3
30051|2
30422|1,2,4
30744|1,2,3,4
31156|4
31548|1,3,4
31878|3
32281|2,3
32658|1,4
33015|1,2,3,4
33423|1,2,4
33767|2
34138|4
34427|4
34533|2,3,4
34762|3
35264|1,3,4
35646|2,3
35824|4
36034|1,3
36405|2
36766|2,3,4
37143|3
37514|1,2,3,4
37961|3
38256|2,3
38633|3
38736|2
38796|4
38899|3
39014|2,3
39405|2,3
39758|1,2,3,4
40120|1,2,3
40520|4
40912|2
41239|1,2,3,4
41622|2,4
42009|2,3
42360|1,2,3,4
42756|2,3
42138|2,4
43509|1,3,4
43907|4
44258|1,3
44642|2,4
45007|3
45759|1,2,3,4
46130|2
46507|1,3,4
47063|3
47260|4
47504|2
47638|1,3
47820|4
48034|2,3
48393|1,4
48779|1,3
49142|2
49539|1,2,3,4
49922|3
50248|1,2,4
50642|1,3,4
50726|2
50891|3
51013|2,4
51267|1,3
51760|4
